40
Punto 1 Tren|-12.0505766 -77.139554
Punto 2 Tren|-12.0377336 -77.1266794
Punto 3 Tren|-12.0394964 -77.0997286
Punto 4 Tren|-12.0215278 -77.1061175
Punto 5 Tren|-12.0062836 -77.0826953
Punto 6 Tren|-11.9622097 -77.0687422
Punto 7 Tren|-12.0349181 -77.0742285
Punto 8 Tren|-12.036597 -77.0532858
Punto 9 Tren|-12.0401226 -77.0352613
Punto 10 Tren|-12.043133 -77.0219874
Punto 11 Tren|-12.0360818 -77.0123744
Punto 12 Tren|-12.028741 -76.9974221
Punto 13 Tren|-12.031763 -76.9895257
Punto 14 Tren|-12.01964 -76.9471488
Punto 15 Tren|-11.992607 -76.8370746
Punto 16 Tren|-12.0034059 -76.9993299
Punto 17 Tren|-11.9822939 -77.0050451
Punto 18 Tren|-11.9349609 -76.9699092
Punto 19 Tren|-12.075156 -77.1000842
Punto 20 Tren|-12.0776424 -77.0931016
Punto 21 Tren|-12.0782349 -77.0813197
Punto 22 Tren|-12.0863286 -77.0632753
Punto 23 Tren|-12.0944467 -77.0504225
Punto 24 Tren|-12.0848982 -76.9809682
Punto 25 Tren|-12.0830347 -76.9696424
Punto 26 Tren|-12.0638982 -76.9408033
Punto 27 Tren|-12.0565957 -76.9444082
Punto 28 Tren|-12.0440887 -76.9379709
Punto 29 Tren|-12.1094248 -76.9773878
Punto 30 Tren|-12.1309077 -76.9787611
Punto 31 Tren|-12.1616628 -76.9275758
Punto 32 Tren|-12.1930411 -76.9195077
Punto 33 Tren|-12.276488 -76.8058326
Punto 34 Tren|-12.0591429 -77.1277995
Punto 35 Tren|-12.0534351 -77.0980162
Punto 36 Tren|-12.0366048 -77.0437495
Punto 37 Tren|-12.0906336 -77.0227628
Punto 38 Tren|-12.1475722 -76.955292
Punto 39 Tren|-12.0641405 -76.9871358
Punto 40 Tren|-12.2410447 -76.8939302
-12.0776424 -77.0931016|-12.075156 -77.1000842|554.0041
-12.0776424 -77.0931016|-12.0782349 -77.0813197|551.19104
-12.0782349 -77.0813197|-12.0776424 -77.0931016|452.20636
-12.0782349 -77.0813197|-12.0863286 -77.0632753|469.19965
-12.0863286 -77.0632753|-12.0782349 -77.0813197|459.23212
-12.0863286 -77.0632753|-12.0944467 -77.0504225|466.16965
-12.0944467 -77.0504225|-12.0863286 -77.0632753|480.8904
-12.0944467 -77.0504225|-12.0906336 -77.0227628|492.66296
-12.0906336 -77.0227628|-12.0944467 -77.0504225|495.39587
-12.0906336 -77.0227628|-12.0848982 -76.9809682|508.682
-12.0848982 -76.9809682|-12.0906336 -77.0227628|530.04425
-12.0848982 -76.9809682|-12.0830347 -76.9696424|460.76993
-12.0830347 -76.9696424|-12.0848982 -76.9809682|467.1202
-12.0830347 -76.9696424|-12.0734423 -76.9555322|527.5211
-12.0734423 -76.9555322|-12.0830347 -76.9696424|485.54083
-12.0734423 -76.9555322|-12.0638982 -76.9408033|526.371
-12.0638982 -76.9408033|-12.0734423 -76.9555322|485.78067
-12.0638982 -76.9408033|-12.0565957 -76.9444082|473.85083
-12.0565957 -76.9444082|-12.0638982 -76.9408033|461.77994
-12.0565957 -76.9444082|-12.0440887 -76.9379709|584.37885
-12.0440887 -76.9379709|-12.0565957 -76.9444082|476.42496
-12.0440887 -76.9379709|-12.01964 -76.9471488|616.49615
-12.01964 -76.9471488|-12.0440887 -76.9379709|502.68622
-11.9622097 -77.0687422|-12.0062836 -77.0826953|527.08887
-12.0062836 -77.0826953|-11.9622097 -77.0687422|308.9895
-12.0062836 -77.0826953|-12.0215278 -77.1061175|472.2456
-12.0215278 -77.1061175|-12.0062836 -77.0826953|534.56635
-12.0215278 -77.1061175|-12.0394964 -77.0997286|458.12567
-12.0394964 -77.0997286|-12.0215278 -77.1061175|439.89688
-12.0394964 -77.0997286|-12.0534351 -77.0980162|450.96515
-12.0534351 -77.0980162|-12.0394964 -77.0997286|451.18005
-12.0534351 -77.0980162|-12.075156 -77.1000842|479.13397
-12.075156 -77.1000842|-12.0534351 -77.0980162|382.5581
-11.9349609 -76.9699092|-11.9822939 -77.0050451|562.6488
-11.9822939 -77.0050451|-11.9349609 -76.9699092|467.4416
-11.9822939 -77.0050451|-12.0034059 -76.9993299|470.56226
-12.0034059 -76.9993299|-11.9822939 -77.0050451|572.03235
-12.0034059 -76.9993299|-12.028741 -76.9974221|489.6106
-12.028741 -76.9974221|-12.0034059 -76.9993299|525.0281
-12.028741 -76.9974221|-12.0641405 -76.9871358|530.1583
-12.0641405 -76.9871358|-12.028741 -76.9974221|465.44693
-12.0641405 -76.9871358|-12.0848982 -76.9809682|497.87564
-12.0848982 -76.9809682|-12.0641405 -76.9871358|552.2395
-12.0848982 -76.9809682|-12.1094248 -76.9773878|515.5498
-12.1094248 -76.9773878|-12.0848982 -76.9809682|511.8556
-12.1094248 -76.9773878|-12.1309077 -76.9787611|514.4181
-12.1309077 -76.9787611|-12.1094248 -76.9773878|513.76294
-12.1309077 -76.9787611|-12.1475722 -76.955292|527.6997
-12.1475722 -76.955292|-12.1309077 -76.9787611|503.59253
-12.1475722 -76.955292|-12.1616628 -76.9275758|537.79926
-12.1616628 -76.9275758|-12.1475722 -76.955292|519.47754
-12.1616628 -76.9275758|-12.1930411 -76.9195077|569.4235
-12.1930411 -76.9195077|-12.1616628 -76.9275758|514.56775
-12.1930411 -76.9195077|-12.2410447 -76.8939302|639.4469
-12.2410447 -76.8939302|-12.1930411 -76.9195077|558.9935
